"Date","Price","Open","High","Low","Vol.","Change %"
"10/14/2024","3.810","3.730","3.830","3.690","507.63K","2.14%"
"10/11/2024","3.730","3.750","3.820","3.710","552.21K","-2.61%"
"10/10/2024","3.830","3.740","3.850","3.678","508.63K","2.96%"
"10/09/2024","3.720","3.710","3.750","3.685","378.16K","-0.80%"
"10/08/2024","3.750","3.750","3.768","3.690","355.55K","0.27%"
"10/07/2024","3.740","3.750","3.830","3.690","534.06K","-1.84%"
"10/04/2024","3.810","3.780","3.850","3.770","298.65K","-1.55%"
"10/03/2024","3.870","3.770","3.870","3.690","720.55K","2.65%"
"10/02/2024","3.770","3.680","3.790","3.680","609.85K","1.89%"
"10/01/2024","3.700","3.830","3.840","3.700","548.92K","-3.14%"
"09/30/2024","3.820","3.920","3.966","3.760","769.13K","-2.55%"
"09/27/2024","3.920","3.990","4.030","3.900","667.23K","0.26%"
"09/26/2024","3.910","3.840","3.940","3.830","698.38K","3.17%"
"09/25/2024","3.790","3.660","3.840","3.660","682.41K","2.71%"
"09/24/2024","3.690","3.610","3.830","3.610","964.42K","2.50%"
"09/23/2024","3.600","3.690","3.740","3.560","1.02M","-1.64%"
"09/20/2024","3.660","3.890","3.910","3.655","1.38M","-7.58%"
"09/19/2024","3.960","3.980","3.995","3.910","827.58K","2.06%"
"09/18/2024","3.880","3.870","4.020","3.852","685.68K","0.52%"
"09/17/2024","3.860","3.950","4.020","3.755","613.77K","-2.28%"
"09/16/2024","3.950","3.950","3.990","3.850","543.81K","-0.25%"
"09/13/2024","3.960","3.970","4.070","3.898","929.18K","0.00%"
"09/12/2024","3.960","3.980","3.990","3.860","629.34K","0.51%"
"09/11/2024","3.940","3.920","3.985","3.860","721.49K","0.25%"
"09/10/2024","3.930","3.700","3.950","3.620","923.09K","6.50%"
"09/09/2024","3.690","3.740","3.750","3.585","723.78K","-1.34%"
"09/06/2024","3.740","3.740","3.780","3.620","1.07M","1.08%"
"09/05/2024","3.700","3.540","3.740","3.505","975.18K","5.41%"
"09/04/2024","3.510","3.560","3.560","3.490","872.91K","0.00%"
"09/03/2024","3.510","3.600","3.650","3.500","784.22K","-2.50%"
"08/30/2024","3.600","3.580","3.615","3.555","470.96K","0.28%"
"08/29/2024","3.590","3.590","3.632","3.580","559.07K","-0.28%"
"08/28/2024","3.600","3.680","3.680","3.560","661.90K","-1.64%"
"08/27/2024","3.660","3.640","3.675","3.600","970.79K","0.27%"
"08/26/2024","3.650","3.660","3.670","3.580","836.20K","-0.27%"
"08/23/2024","3.660","3.720","3.750","3.600","1.24M","-2.14%"
"08/22/2024","3.740","3.810","3.880","3.730","552.16K","-2.60%"
"08/21/2024","3.840","3.820","3.870","3.820","600.46K","-0.26%"
"08/20/2024","3.850","3.800","3.850","3.720","1.06M","1.85%"
"08/19/2024","3.780","3.850","3.860","3.760","610.20K","-0.53%"
"08/16/2024","3.800","3.810","3.840","3.710","788.36K","0.53%"
"08/15/2024","3.780","3.770","3.860","3.740","662.12K","3.00%"
"08/14/2024","3.670","3.830","3.890","3.650","915.89K","-4.68%"
"08/13/2024","3.850","3.690","3.870","3.690","614.30K","4.34%"
"08/12/2024","3.690","3.730","3.770","3.650","537.40K","-1.07%"
"08/09/2024","3.730","3.900","3.900","3.665","643.29K","-0.27%"
"08/08/2024","3.740","3.610","3.775","3.560","720.62K","3.60%"
"08/07/2024","3.610","3.820","3.870","3.585","1.16M","-4.50%"
"08/06/2024","3.780","3.740","3.780","3.540","1.46M","3.00%"
"08/05/2024","3.670","3.540","3.780","3.530","958.04K","-6.14%"
"08/02/2024","3.910","3.900","3.980","3.810","698.79K","0.26%"
"08/01/2024","3.900","4.010","4.010","3.860","807.25K","-1.02%"
"07/31/2024","3.940","3.950","4.085","3.930","793.95K","0.00%"
"07/30/2024","3.940","4.000","4.040","3.735","1.49M","-1.50%"
"07/29/2024","4.000","4.140","4.168","3.850","2.29M","-3.15%"
"07/26/2024","4.130","4.190","4.230","4.100","463.25K","0.24%"
"07/25/2024","4.120","4.080","4.220","4.040","794.08K","1.48%"
"07/24/2024","4.060","4.320","4.356","4.010","1.85M","-7.52%"
"07/23/2024","4.390","4.470","4.489","4.335","814.88K","-2.66%"
"07/22/2024","4.510","4.540","4.560","4.330","912.01K","-0.66%"
"07/19/2024","4.540","4.550","4.635","4.483","627.09K","-0.22%"
"07/18/2024","4.550","4.470","4.820","4.470","1.41M","0.89%"
"07/17/2024","4.510","4.650","4.760","4.410","1.28M","-4.04%"
"07/16/2024","4.700","4.710","4.810","4.540","1.16M","1.29%"
"07/15/2024","4.640","4.850","4.860","4.460","1.64M","-4.33%"
"07/12/2024","4.850","4.850","4.990","4.720","1.56M","-1.02%"
"07/11/2024","4.900","4.170","5.040","4.170","5.57M","17.51%"
"07/10/2024","4.170","4.120","4.250","4.105","942.25K","-0.24%"
"07/09/2024","4.180","4.310","4.310","4.080","1.00M","-2.34%"
"07/08/2024","4.280","4.420","4.420","4.190","677.14K","-0.93%"
"07/05/2024","4.320","4.150","4.345","4.090","1.08M","2.86%"
"07/03/2024","4.200","4.050","4.280","4.030","1.10M","3.70%"
"07/02/2024","4.050","4.170","4.210","3.955","1.39M","-2.64%"
"07/01/2024","4.160","4.360","4.360","4.060","1.18M","-3.26%"
"06/28/2024","4.300","4.350","4.400","4.270","628.76K","-2.27%"
"06/27/2024","4.400","4.030","4.480","3.930","1.97M","8.11%"
"06/26/2024","4.070","4.090","4.260","4.040","1.41M","1.24%"
"06/25/2024","4.020","4.050","4.050","3.890","998.70K","-0.50%"
"06/24/2024","4.040","3.940","4.050","3.790","1.96M","3.59%"
"06/21/2024","3.900","4.160","4.225","3.900","1.83M","-9.51%"
"06/20/2024","4.310","3.870","4.390","3.780","3.40M","9.95%"
"06/18/2024","3.920","4.110","4.130","3.825","1.99M","-5.31%"
"06/17/2024","4.140","4.300","4.410","4.050","1.15M","-4.39%"
"06/14/2024","4.330","3.900","4.450","3.900","3.14M","10.18%"
"06/13/2024","3.930","3.760","4.080","3.720","1.44M","4.52%"
"06/12/2024","3.760","3.910","4.040","3.720","1.51M","-3.84%"
"06/11/2024","3.910","3.980","4.025","3.800","1.35M","-1.51%"
"06/10/2024","3.970","4.350","4.350","3.920","2.23M","-8.94%"
"06/07/2024","4.360","4.400","4.480","4.290","1.09M","-3.96%"
"06/06/2024","4.540","4.380","4.590","4.290","1.68M","1.57%"
"06/05/2024","4.470","4.650","4.650","4.210","2.17M","-2.83%"
"06/04/2024","4.600","4.870","4.900","4.560","2.30M","-5.54%"
"06/03/2024","4.870","4.950","5.060","4.780","1.53M","-0.41%"
"05/31/2024","4.890","4.800","5.180","4.730","1.88M","0.41%"
"05/30/2024","4.870","4.900","5.040","4.815","1.66M","1.25%"
"05/29/2024","4.810","4.780","4.910","4.640","1.09M","-2.24%"
"05/28/2024","4.920","4.900","5.240","4.700","2.76M","0.41%"
"05/24/2024","4.900","4.760","5.200","4.710","2.84M","4.26%"
"05/23/2024","4.700","4.740","5.020","4.500","2.29M","0.64%"
"05/22/2024","4.670","5.050","5.060","4.330","4.11M","-9.14%"
"05/21/2024","5.140","5.600","5.980","4.940","7.43M","-18.67%"
"05/20/2024","6.320","4.880","6.420","4.760","10.87M","29.51%"
"05/17/2024","4.880","4.350","4.880","4.235","3.21M","10.41%"
"05/16/2024","4.420","4.230","4.870","4.230","5.96M","4.25%"
"05/15/2024","4.240","4.210","4.290","4.000","2.09M","3.16%"
"05/14/2024","4.110","4.650","4.990","4.000","8.50M","-9.87%"
"05/13/2024","4.560","3.200","4.640","3.080","15.40M","51.50%"
"05/10/2024","3.010","3.060","3.105","2.980","1.12M","-0.99%"
"05/09/2024","3.040","2.920","3.200","2.900","2.01M","4.83%"
"05/08/2024","2.900","2.960","2.980","2.850","1.76M","-3.65%"
"05/07/2024","3.010","3.140","3.180","2.960","2.21M","-2.27%"
"05/06/2024","3.080","2.890","3.190","2.890","3.41M","6.57%"
"05/03/2024","2.890","2.940","2.980","2.785","1.91M","1.40%"
"05/02/2024","2.850","2.760","2.950","2.670","2.92M","7.14%"
"05/01/2024","2.660","2.590","2.765","2.550","2.37M","3.91%"
"04/30/2024","2.560","2.680","2.700","2.550","2.68M","-6.57%"
"04/29/2024","2.740","2.720","2.825","2.660","2.55M","5.38%"
"04/26/2024","2.600","2.670","2.830","2.600","4.10M","-3.35%"
"04/25/2024","2.690","2.470","2.690","2.440","2.60M","7.60%"
"04/24/2024","2.500","2.590","2.630","2.450","3.13M","3.31%"
"04/23/2024","2.420","2.490","2.690","2.410","3.78M","-0.41%"
"04/22/2024","2.430","2.480","2.507","2.255","5.03M","-3.57%"
"04/19/2024","2.520","2.600","2.655","2.435","5.66M","-7.01%"
"04/18/2024","2.710","2.710","2.800","2.560","2.44M","-0.37%"
"04/17/2024","2.720","3.040","3.050","2.590","6.60M","-11.40%"
"04/16/2024","3.070","3.200","3.290","3.030","2.70M","-5.83%"
